CLUB,MANAGER,LIGA,ESTADIO,UBICACIÓN,FUNDACIÓN
UD Almería,Rubi Ferrer,La Liga 2,Estadio del Mediterráneo,Almería,1989
Cádiz CF,Paco López,La Liga 2,Nuevo Mirandilla,Cádiz,1910
Granada CF,Guillermo Abascal,La Liga 2,Nuevo Los Cármenes,Granada,1974
Levante UD,Julián Calero,La Liga 2,Ciutat de Valencia,Valencia,1909
Elche CF,Eder Sarabia,La Liga 2,Martínez Valero,Elche,1923
Real Racing Club,José Alberto López,La Liga 2,El Sardinero,Santander,1913
Real Zaragoza,Víctor Fernández,La Liga 2,La Romareda,Zaragoza,1932
Málaga CF,Sergio Pellicer,La Liga 2,La Rosaleda,Málaga,1948
Real Sporting,Rubén Albés,La Liga 2,El Molinón,Gijón,1905
SD Eibar,Joseba Etxeberria,La Liga 2,Ipurúa Municipal Stadium,Eibar,1940
RC Deportivo,Imanol Idiakez,La Liga 2,Riazor,A Coruña,1906
CD Tenerife,Óscar Cano,La Liga 2,Heliodoro Rodríguez López,Tenerife,1922
Real Oviedo,Javier Calleja,La Liga 2,Carlos Tartiere,Oviedo,1926
Albacete Balompié,Alberto González Fernández,La Liga 2,Carlos Belmonte,Albacete,1940
SD Huesca,Antonio Hidalgo,La Liga 2,El Alcoraz,Huesca,1960
Racing Ferrol,Cristóbal Parralo,La Liga 2,Estadio de la Malata,Ferrol,1917
Burgos CF,Jon Pérez Bolo,La Liga 2,El Plantío,Burgos,1994
FC Cartagena,Abelardo Fernández,La Liga 2,Cartagonova,Cartagena,1995
CD Castellón,Dick Schreuder,La Liga 2,Nou Castalia,Castellon,1922
CD Eldense,Dani Ponz,La Liga 2,Nuevo Pepico Amat,Elda,1921
Córdoba CF,Iván Ania,La Liga 2,Nuevo Arcángel,Córdoba,1954
CD Mirandés,Alessio Lisci,La Liga 2,Municipal Anduva,Miranda de Ebro,1927
