N.º,Nombre,"Población
(1 de enero de 2023)",Provincia,Comunidad autónoma
1,Madrid,3 332 035,Madrid,Comunidad de Madrid
2,Barcelona,1 660 122,Barcelona,Cataluña
3,Valencia,807 693,Valencia,Comunidad Valenciana
4,Sevilla,684 025,Sevilla,Andalucía
5,Zaragoza,682 513,Zaragoza,Aragón
6,Málaga,586 384,Málaga,Andalucía
7,Murcia,469 177,Región de Murcia,
8,Palma de Mallorca,423 350,Islas Baleares,
9,Las Palmas de Gran Canaria,378 027,Las Palmas,Canarias
10,Alicante,349 282,Alicante,Comunidad Valenciana
11,Bilbao,346 096,Vizcaya,País Vasco
12,Córdoba,323 763,Córdoba,Andalucía
13,Valladolid,297 459,Valladolid,Castilla y León
14,Vigo,293 652,Pontevedra,Galicia
15,Hospitalet de Llobregat,274 455,Barcelona,Cataluña
16,Gijón,268 313,Principado de Asturias,
17,Vitoria,255 886,Álava,País Vasco
18,A Coruña,247 376,A Coruña,Galicia
19,Elche,238 293,Alicante,Comunidad Valenciana
20,Granada,230 595,Granada,Andalucía
21,Badalona,225 957,Barcelona,Cataluña
22,Tarrasa,225 277,Barcelona,Cataluña
23,Sabadell,218 300,Barcelona,Cataluña
24,Cartagena,218 050,Región de Murcia,
25,Oviedo,217 584,Principado de Asturias,
26,Jerez de la Frontera,213 231,Cádiz,Andalucía
27,Móstoles,211 265,Comunidad de Madrid,
28,Tenerife,209 395,Santa Cruz de Tenerife,Canarias
29,Pamplona,205 762,Navarra,
30,Almería,200 578,Almería,Andalucía
31,Alcalá de Henares,199 184,Comunidad de Madrid,
32,Leganés,190 665,Comunidad de Madrid,
33,San Sebastián,188 743,Guipúzcoa,País Vasco
34,Fuenlabrada,188 736,Comunidad de Madrid,
35,Getafe,185 899,Comunidad de Madrid,
36,Castellon,176 238,Castellon,Comunidad Valenciana
37,Burgos,174 451,Burgos,Castilla y León
38,Albacete,173 206,Albacete,Castilla-La Mancha
39,Santander,172 726,Cantabria,
40,Alcorcón,171 772,Comunidad de Madrid,
41,San Cristóbal de La Laguna,159 034,Santa Cruz de Tenerife,Canarias
42,Marbella,156 295,Málaga,Andalucía
43,Logroño,150 583,La Rioja,
44,Badajoz,150 190,Badajoz,Extremadura
45,Salamanca,143 954,Salamanca,Castilla y León
46,Lérida,143 094,Lérida,Cataluña
47,Huelva,142 532,Huelva,Andalucía
48,Dos Hermanas,138 981,Sevilla,Andalucía
49,Tarragona,138 262,Tarragona,Cataluña
50,Torrejón de Ardoz,137 711,Comunidad de Madrid,
51,Parla,133 004,Comunidad de Madrid,
52,Mataró,129 870,Barcelona,Cataluña
53,Algeciras,123 639,Cádiz,Andalucía
54,León,121 281,León,Castilla y León
55,Santa Coloma de Gramanet,119 862,Barcelona,Cataluña
56,Alcobendas,119 416,Comunidad de Madrid,
57,Jaén,111 888,Jaén,Andalucía
58,Cádiz,111 811,Cádiz,Andalucía
59,Reus,108 479,Tarragona,Cataluña
60,Roquetas de Mar,106 510,Almería,Andalucía
61,Gerona,104 320,Gerona,Cataluña
62,Orense,104 250,Orense,Galicia
63,Telde,102 478,Las Palmas,Canarias
64,Baracaldo,101 229,Vizcaya,País Vasco
65,Rivas-Vaciamadrid,100 275,Comunidad de Madrid,
66,Santiago de Compostela,98 687,La Coruña,Galicia
67,Lorca,98 447,Región de Murcia,
68,Lugo,98 214,Lugo,Galicia
69,Las Rozas de Madrid,98 086,Comunidad de Madrid,
70,San Cugat del Vallés,97 530,Barcelona,Cataluña
71,Cáceres,96 215,Cáceres,Extremadura
72,San Fernando,93 927,Cádiz,Andalucía
73,San Sebastián de los Reyes,92 734,Comunidad de Madrid,
74,Mijas,91 691,Málaga,Andalucía
75,Cornellá de Llobregat,90 303,Barcelona,Cataluña
76,El Ejido,89 975,Almería,Andalucía
77,El Puerto de Santa María,89 813,Cádiz,Andalucía
78,Torrevieja,89 290,Alicante,Comunidad Valenciana
79,Guadalajara,89 010,Guadalajara,Castilla-La Mancha
80,Pozuelo de Alarcón,88 784,Comunidad de Madrid,
81,Chiclana de la Frontera,88 709,Cádiz,Andalucía
82,Torrente,87 295,Valencia,Comunidad Valenciana
83,Toledo,86 070,Toledo,Castilla-La Mancha
